term_id,term,baseline_cluster_id,method,evidence
term_99a7a01d09d96b6d97c9,Aquaculture production by aquatic environment - ENP-South countries,cluster_f2d7baeb95d9,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_7789a973297e4d885e32,Aquaculture production in tonnes and value,cluster_f2d7baeb95d9,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_1ea0302f0e6ecab11f29,Arrears on non-housing bills by income quintile,cluster_021a934ea779,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_f562209adf44b800cb23,as % of the population of the corresponding age,cluster_586194a4eb3a,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_a66e5a24f4ba2094a4f6,as % of the population of the corresponding age group,cluster_586194a4eb3a,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_e1eb350cc06d0a62981f,as % of the total population of post-compulsory school age,cluster_586194a4eb3a,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_7c168de392caf7078752,as % of total active population,cluster_c574624eef1e,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_e1602b3139cef5deb9f9,as % of total or current expenditure,cluster_2aeba3fc16ae,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_70fbc6c91624609e107f,as % of total public expenditure,cluster_2aeba3fc16ae,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_b24eebc0b3af6b6b4aa0,At risk-of-poverty rate for the population living in (quasi-)jobless households,cluster_34cd09890693,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_6344e0456def1c9ee015,At-risk-of poverty rate for children by citizenship of their parents (population aged 0 to 17),cluster_a2e4cd40e034,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_213859f5d72fd3eaad3d,At-risk-of poverty rate for children by country of birth of their parents (population aged 0 to 17),cluster_a2e4cd40e034,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_1d11dca31232a36ebf76,Average expenditure per night,cluster_33ddf438eacf,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_06fd140352484b25e43e,Average expenditure per trip,cluster_33ddf438eacf,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_335951c32d8d2116b9f0,Average population (mid-year),cluster_e49bc44f26c0,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_424bd938c951afe537f5,Average population mid-year by sex and age group,cluster_e49bc44f26c0,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_0f501f4a2588acc2b10d,Average population mid-year by sex and age group - ENP-South countries,cluster_e49bc44f26c0,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_b82538563afbccd385b6,"Barley by area, production and humidity",cluster_30a5e78c1bee,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_b90af556331316163672,basic and producer prices,cluster_fc59ce925147,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_2d69baedc15824c81811,Buses and coaches traffic performance registered in the by transport covarage,cluster_e7477d78f08b,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_318cf2b1f91f6cc6d9ec,Carrying capacity of the waterway transport enterprises vessels by number of vessels in enterprises,cluster_c7c1d69c4acd,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_5f7e6cf5264e9854d4ea,Causes of death,cluster_95df7df16168,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_962076671ba1710ec9cd,Causes of death - potential years of life lost by country of residence,cluster_95df7df16168,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_3456ee1ef3a4b5d3e160,"Causes of death, by sex",cluster_95df7df16168,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_21acbc3991aad168be3f,"Cereals for the production of grain (including seed) by area, production and humidity",cluster_30a5e78c1bee,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_bddb535218bdd2ecee0c,Children cared only by their parents by age group - % over the population of each age group,cluster_4ba888595f32,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_8fa5a4c35cfb38394961,"Classroom teachers working full-time and part-time in primary, lower-secondary and upper-secondary education - as % of total active population",cluster_4ba888595f32,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_1d490b3690f8a6d9f521,constant prices,cluster_d80ae2c2c145,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_eacb2216fe4997adf92e,Consumer price index,cluster_b2b3f012d4f5,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_5574a85a609e8966b428,Consumer price index - ENP-East countries,cluster_50fcb6e7a7e8,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_a1ec4c2cbf84309933ed,Consumer price index - ENP-South countries,cluster_50fcb6e7a7e8,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_6150cd2caa8f4a04c46e,Container transport by type of goods and coverage,cluster_a5cfad0cd27c,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_027275b4917a775d06d1,Country level - gross weight of goods transported to/from main ports,cluster_a5cfad0cd27c,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_ac49c8d4bf9ebe2ab58f,Crimes recorded by the police - homicide in cities,cluster_32528f9d8077,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_112b7bcba889c2543790,Crop output - basic and producer prices,cluster_fc59ce925147,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_484236517c42f3ecd18f,Crop production - ENP-East countries,cluster_f2d7baeb95d9,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_e9ef238b028627dd77c4,Crop production - ENP-South countries,cluster_f2d7baeb95d9,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_99e1529e4e89f9c36b6e,"Crude rate of birth, of dead and of population change",cluster_a03fe115e208,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_0aaad1fb739644538df7,"Crude rate of birth, of dead and of population change - ENP-South countries",cluster_a03fe115e208,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_1e90b7c1d9857b0b43e2,Cultural employment by sex,cluster_0b86931b6154,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_c46d3ef2aa9824c586e8,"Current account transactions - primary income: credits, debits and balance",cluster_021a934ea779,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_f216ac3c2bf81bef68a4,"Current account transactions - secondary income: credits, debits and balance",cluster_021a934ea779,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_06805613d2075f44c3ed,current prices,cluster_b9a3b7632ab8,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_101e60ee5f0f430737e5,"Death due to accidents, by sex",cluster_95df7df16168,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_956ee1e95cb224363643,"Death due to AIDS (HIV-disease), by sex",cluster_95df7df16168,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_76957f17efd94e0cea36,"Death due to alcoholic abuse, by sex",cluster_95df7df16168,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_94b6765642dac6f6949f,"Death due to cancer, by sex",cluster_95df7df16168,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_917e54b71e6c2b9e56cf,"Death due to chronic liver disease, by sex",cluster_95df7df16168,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_eeb6980f51c7d56fc3f4,"Death due to diabetes mellitus, by sex",cluster_95df7df16168,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_00b72c6e5deff8c38d7c,"Death due to diseases of the nervous system, by sex",cluster_95df7df16168,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_399d10eefab967a56ee1,"Death due to drugs dependence, by sex",cluster_95df7df16168,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_d2dca023ba00e51db540,"Death due to homicide, assault, by sex",cluster_95df7df16168,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_57d1f644eb4f567ee35e,"Death due to other ischaemic heart diseases, by sex",cluster_95df7df16168,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_16db44a8101ea3aaa4f2,"Death due to pneumonia, by sex",cluster_95df7df16168,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_a328ea1f4752a941f146,"Death due to suicide, by sex",cluster_95df7df16168,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_5849d9c0db41e7b9acb9,"Death due to transport accidents, by sex",cluster_95df7df16168,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_4ac219ee67cfb6b290fb,Deaths and crude death rate,cluster_a03fe115e208,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_92edf6d2724d27c3b16d,Deaths by sex,cluster_95df7df16168,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_137e8305fffe057d3255,Deaths of residents related to dementias including Alzheimer,cluster_95df7df16168,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_6c28e669b8ae9b75d28b,"Direct investment liabilities (flows) - annual data, % of GDP",cluster_717245bdba31,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_83264f46823288d5d1e9,"Direct investment liabilities (stocks) - annual data, % of GDP",cluster_717245bdba31,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_80b5ab22dea335cf3afa,Disparities in adjusted gross disposable income of households per capita,cluster_50fcb6e7a7e8,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_4c7e35d1efbd7315d86c,Distribution of digital platform workers (at least one hour in the last month) by price setting,cluster_93d52bc87457,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_0a5f811862a59c07d79f,Distribution of digital platform workers (at least one hour in the last month) by price setting - experimental statistics,cluster_93d52bc87457,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_d0cf9392077626f22315,Distribution of digital platform workers (at least one hour in the last month) by share of platform income in their earnings,cluster_93d52bc87457,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_caa6309ffcec0ffa87e1,Distribution of digital platform workers (at least one hour in the last month) by share of platform income in their earnings - experimental statistics,cluster_93d52bc87457,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_eab582259d286e7cd986,Distribution of population by household types,cluster_34cd09890693,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_892ca2920961f51b7d30,Distribution of population by household types - EU-SILC survey,cluster_34cd09890693,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_51ed3941228748ad9c32,Domestic industrial production price index,cluster_50fcb6e7a7e8,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_5717f6e639f4b12f4341,Domestic industrial production price index - ENP-East countries,cluster_50fcb6e7a7e8,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_1cffd66b8825402d8cd6,Domestic producer prices - capital goods,cluster_be31239b58e7,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_c2d0179c7cd68ff9bdc4,Domestic producer prices - consumer durables,cluster_be31239b58e7,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_d3259c0a506408ea96d9,Domestic producer prices - consumer non-durables,cluster_be31239b58e7,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_ebb8bef4d41b8ff4cc33,Domestic producer prices - energy,cluster_be31239b58e7,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_fe4e2ce249094bf3ed20,Domestic producer prices - intermediate goods,cluster_be31239b58e7,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_9dbbcc4f8da2f29988f9,Domestic producer prices - manufacturing,cluster_be31239b58e7,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_2a0305468dfa4b8a1343,Domestic producer prices - total industry (excluding construction),cluster_be31239b58e7,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_7850094491fdcb8c4867,"Dry pulses and protein crops for the production of grain (including seed and mixtures of cereals and pulses) by area, production and humidity",cluster_30a5e78c1bee,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_0bc9d7812026d642cd23,Effect of social transfers on income quintile share ratio S80/S20,cluster_fd27aed274d2,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_a4a4b3edcc8d7cd6085f,Effect of taxes and social transfers on income quintile share ratio S80/S20,cluster_fd27aed274d2,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_5a81cbeed5828801de9a,Effect of taxes on income quintile share ratio S80/S20,cluster_fd27aed274d2,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_25afea5a7addd2535b88,"Employed persons exposed to employment-related physical, psychological or sexual violence in the last 12 months by sex and age",cluster_0b86931b6154,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_ca743b9337ba4d9b8d54,Employment,cluster_8cbdd0602d88,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_3975fde3be8673d043a1,Employment and economic activity branches,cluster_8cbdd0602d88,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_6a33f33bcda42090451b,Employment and employment rates (aged 20-64) by sex,cluster_0b86931b6154,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_795d9ad98feaa090e492,Employment and employment rates (aged 20-64) by sex - ENP-East countries,cluster_0b86931b6154,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_ec9454af09d7d3861fda,Employment by professional status,cluster_8cbdd0602d88,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_5992c9ed3e19ee9f1cca,Employment by professional status - ENP-South countries,cluster_8cbdd0602d88,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_7222b4430267209c516b,Employment characteristics,cluster_8cbdd0602d88,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_1216e5cffc0c3beaacd4,Employment expectations by sectors,cluster_8cbdd0602d88,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_a5c9e443dfb7c240a1b6,Employment expectations indicator,cluster_8cbdd0602d88,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_ed103e759eb80d6441c5,Employment growth (domestic concept),cluster_8cbdd0602d88,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_65afc991fda4bfad6726,Employment growth (domestic concept) - ENP-East countries,cluster_8cbdd0602d88,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_598b44b5a3281568bbc3,Employment in Foreign Affiliates of Domestic Enterprises,cluster_3d19854cb005,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_249f821d698e17073d0f,Employment in Foreign Controlled Enterprises,cluster_3d19854cb005,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_079ed5d6db4e3900293a,Employment in waterways transport enterprises by number of vessels in enterprises,cluster_c7c1d69c4acd,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_289d3ad56aa1ffc52628,Employment in waterways transport enterprises by sex,cluster_0b86931b6154,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_98ccf44d2931bdcf2215,Employment rate,cluster_0b86931b6154,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_6a05457df916fa51e4b7,Employment rate by citizenship,cluster_0b86931b6154,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_11690bfa78e5b9ada064,Employment rate by sex,cluster_0b86931b6154,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_a7ebeda4912ad87981e2,Employment rate of low skilled persons (age group 20-64),cluster_0b86931b6154,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_a6ec76a4cb1ad6932069,Employment rate of non-EU nationals (age group 20-64),cluster_0b86931b6154,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_cc6c389a3a5b9ede456e,"Employment rate of older workers, age group 55-64",cluster_0b86931b6154,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_c9fa520584151533f5a2,Employment rates (aged 15-64) by sex,cluster_0b86931b6154,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_27a95e3ef428412228a6,Employment rates (aged 15-64) by sex - ENP-South countries,cluster_0b86931b6154,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_178890956c1e3c7acc0d,Employment rates of recent graduates,cluster_c319eca3855a,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_27403ee3a08ef6612373,"Employment, domestic concept",cluster_8cbdd0602d88,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_defff23a8f88d8548c58,"Employment, domestic concept - annual data",cluster_8cbdd0602d88,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_e74b0b68daf6ab98bfae,"Employment, domestic concept - Total",cluster_8cbdd0602d88,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_09e1aee2eae3f6f961d2,"Ever-partnered women who have experienced violence by an intimate partner, by country of birth",cluster_75d91075175e,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_9c16d79cea97b0714de5,Expenditure on education in constant prices,cluster_d80ae2c2c145,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_b1fb19c84fd17e2fd413,Expenditure on public educational institutions,cluster_2aeba3fc16ae,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_bf772c90f95cd422ec1d,Expenditure on public educational institutions - as % of total or current expenditure,cluster_2aeba3fc16ae,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_27f5a1f9c59e1b87dc68,Expenditure on road transport vehicles and road infrastructure,cluster_100401722785,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_46da92b563b9ffdccb55,Expenditure on rolling stock and railway infrastructure,cluster_100401722785,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_6e80a6ca3ae0ebf52856,Expenditure on social protection by type,cluster_2aeba3fc16ae,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_a87ced2df78c51659769,Expenditure on social protection per inhabitant at constant prices,cluster_2aeba3fc16ae,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_30dd549a4d0eb8151b25,Expenditure on social protection per inhabitant in PPS,cluster_2aeba3fc16ae,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_0121d15f00fd5074d0bf,Expenditure on waterway transport infrastructure and freight vessels,cluster_100401722785,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_af395f1610bfa9afa413,Exports of goods - machinery and transport equipment,cluster_a5cfad0cd27c,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_233266d63f959636da6c,Exports of goods and services in % of GDP,cluster_717245bdba31,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_f98c68c67133ddf86700,"External balance of goods and services, current prices",cluster_b9a3b7632ab8,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_f1ad67c786a97690fa75,Final consumption expenditure of households and non-profit institutions serving households - annual data,cluster_50fcb6e7a7e8,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_115d903267dadba6da0f,"Final consumption expenditure of households and NPISH, current prices",cluster_50fcb6e7a7e8,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_5bd6cc28bc0c9ce94e30,"Final consumption expenditure of households and NPISH, volumes",cluster_50fcb6e7a7e8,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_d1a57151199d56c5e07f,Financial aid to students by education level - as % of total public expenditure,cluster_2aeba3fc16ae,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_f3ae2a10579c3fbd217e,Foreign-born population,cluster_f5e40cb5cbdd,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_39de1f14cd5fe4b343a1,Freight and mail air transport (including national transport),cluster_e7477d78f08b,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_5e2d8a28ef31383d28d4,Freight and mail air transport (including national transport) - ENP-South countries,cluster_e7477d78f08b,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_f354ea1081d17071b4ab,Freight and mail air transport over national territory (including territorial sea),cluster_e7477d78f08b,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_366e31423c1da3f1342b,GDP deflator,cluster_50fcb6e7a7e8,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_2c295ea215a5bc746b20,GDP per capita in PPS,cluster_50fcb6e7a7e8,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_a7f8640f667814e9fbfc,GDP weights used in the calculation of the global specific indicator,cluster_b1e84f16286c,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_2e238609443153c1dccf,Gender differences in the relative income of elderly people (65+),cluster_fd27aed274d2,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_99869cc8c80491bbbd12,Gender differences in the relative income of elderly people (65+) - EU-SILC survey,cluster_fd27aed274d2,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
