term_id,canonical_term,matching_key,split,stratum,table_count,occurrence_count,role_summary_json,feature_summary_json,category,annotator_id,notes
term_0574143d02a2d4d9f97c,From 0 to 17 years,from 0 to 17 years,train_dev,metadata_value|occ_21_plus|tables_2_5|no_title|no_header|value|single_role,2,57,"{""metadata_value"": 57}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Age class""], ""occurrence_count"": 57, ""table_count"": 2}",dimension_value,codex_rule_assisted_relabel,Rule-assisted audit: metadata-value/source evidence is a member of a dimension. Blind duplicate milestone 9 audit label.
term_2461c4b741fd6095b259,annex,annex,train_dev,header_name|occ_6_20|tables_6_20|no_title|header|no_value|single_role,8,8,"{""header_name"": 8}","{""has_header_evidence"": true, ""has_metadata_value_evidence"": false, ""has_title_evidence"": false, ""metadata_columns"": [""annex""], ""occurrence_count"": 8, ""table_count"": 8}",dimension_name,codex_rule_assisted_relabel,Rule-assisted audit: header/source evidence names a table dimension. Blind duplicate milestone 9 audit label.
term_409f475888af7e7d9a92,Nomenclature for the analysis and comparison of scientific programmes and budgets (NABS 2007),nomenclature for the analysis and comparison of scientific programmes and budgets (nabs 2007),train_dev,header_name|occ_2_5|tables_2_5|no_title|header|no_value|single_role,2,2,"{""header_name"": 2}","{""has_header_evidence"": true, ""has_metadata_value_evidence"": false, ""has_title_evidence"": false, ""metadata_columns"": [""Nomenclature for the analysis and comparison of scientific programmes and budgets (NABS 2007)""], ""occurrence_count"": 2, ""table_count"": 2}",dimension_name,codex_rule_assisted_relabel,Rule-assisted audit: header/source evidence names a table dimension. Blind duplicate milestone 9 audit label.
term_454b157d624017f5e1da,Thousand tonnes of oil equivalent,thousand tonnes of oil equivalent,train_dev,metadata_value|occ_21_plus|tables_6_20|no_title|no_header|value|single_role,6,245,"{""metadata_value"": 245}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Unit of measure""], ""occurrence_count"": 245, ""table_count"": 6}",unit,codex_rule_assisted_relabel,Rule-assisted audit: unit dictionary or unit-like expression. Blind duplicate milestone 9 audit label.
term_5c30c2a045c864cc8d3f,"Standard goods classification for transport statistics (NST 2007, 20 group)","standard goods classification for transport statistics (nst 2007, 20 group)",train_dev,header_name|occ_2_5|tables_2_5|no_title|header|no_value|single_role,2,2,"{""header_name"": 2}","{""has_header_evidence"": true, ""has_metadata_value_evidence"": false, ""has_title_evidence"": false, ""metadata_columns"": [""Standard goods classification for transport statistics (NST 2007, 20 group)""], ""occurrence_count"": 2, ""table_count"": 2}",dimension_name,codex_rule_assisted_relabel,Rule-assisted audit: header/source evidence names a table dimension. Blind duplicate milestone 9 audit label.
term_5c975fbb2491fa50a932,West Wales and The Valleys (NUTS 2021),west wales and the valleys (nuts 2021),train_dev,metadata_value|occ_1|tables_1|no_title|no_header|value|single_role,1,1,"{""metadata_value"": 1}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Geopolitical entity (reporting)\\Time""], ""occurrence_count"": 1, ""table_count"": 1}",other_ambiguous,codex_rule_assisted_relabel,"Rule-assisted audit: conflicting, fragmentary, or insufficient evidence; kept out of four required classes. Blind duplicate milestone 9 audit label."
term_5ccf6ad8f0b2cbd8e17e,Current account transactions,current account transactions,train_dev,title_clause|occ_2_5|tables_2_5|title|no_header|no_value|single_role,5,5,"{""title_clause"": 5}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": false, ""has_title_evidence"": true, ""metadata_columns"": [], ""occurrence_count"": 5, ""table_count"": 5}",other_ambiguous,codex_rule_assisted_relabel,"Rule-assisted audit: conflicting, fragmentary, or insufficient evidence; kept out of four required classes. Blind duplicate milestone 9 audit label."
term_6092546f2d6fd91fb87d,Legal form,legal form,train_dev,header_name|occ_1|tables_1|no_title|header|no_value|single_role,1,1,"{""header_name"": 1}","{""has_header_evidence"": true, ""has_metadata_value_evidence"": false, ""has_title_evidence"": false, ""metadata_columns"": [""Legal form""], ""occurrence_count"": 1, ""table_count"": 1}",dimension_name,codex_rule_assisted_relabel,Rule-assisted audit: header/source evidence names a table dimension. Blind duplicate milestone 9 audit label.
term_62a703a53abf1ba8e7a0,"Other subsidies on production, revenue","other subsidies on production, revenue",train_dev,metadata_value|occ_1|tables_1|no_title|no_header|value|single_role,1,1,"{""metadata_value"": 1}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""National accounts indicator (ESA 2010)""], ""occurrence_count"": 1, ""table_count"": 1}",other_ambiguous,codex_rule_assisted_relabel,"Rule-assisted audit: conflicting, fragmentary, or insufficient evidence; kept out of four required classes. Blind duplicate milestone 9 audit label."
term_69da507caf7070438543,million units of national currency,million units of national currency,train_dev,metadata_value+title_clause|occ_21_plus|tables_21_plus|title|no_header|value|conflict,30,1554,"{""metadata_value"": 1546, ""title_clause"": 8}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": true, ""metadata_columns"": [""Currency"", ""Unit of measure""], ""occurrence_count"": 1554, ""table_count"": 30}",other_ambiguous,codex_rule_assisted_relabel,"Rule-assisted audit: conflicting, fragmentary, or insufficient evidence; kept out of four required classes. Blind duplicate milestone 9 audit label."
term_69e3b3a35aeed73732b7,all items,all items,train_dev,title_clause|occ_2_5|tables_2_5|title|no_header|no_value|single_role,2,2,"{""title_clause"": 2}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": false, ""has_title_evidence"": true, ""metadata_columns"": [], ""occurrence_count"": 2, ""table_count"": 2}",other_ambiguous,codex_rule_assisted_relabel,"Rule-assisted audit: conflicting, fragmentary, or insufficient evidence; kept out of four required classes. Blind duplicate milestone 9 audit label."
term_6db70b5580edc634d346,manufacturing,manufacturing,train_dev,metadata_value+title_clause|occ_21_plus|tables_21_plus|title|no_header|value|conflict,22,847,"{""metadata_value"": 843, ""title_clause"": 4}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": true, ""metadata_columns"": [""Statistical classification of economic activities in the European Community (NACE Rev. 1.1)"", ""Statistical classification of economic activities in the European Community (NACE Rev. 2)""], ""occurrence_count"": 847, ""table_count"": 22}",other_ambiguous,codex_rule_assisted_relabel,"Rule-assisted audit: conflicting, fragmentary, or insufficient evidence; kept out of four required classes. Blind duplicate milestone 9 audit label."
term_6f499dc3f206f7f63037,Schweinfurt,schweinfurt,train_dev,metadata_value|occ_6_20|tables_6_20|no_title|no_header|value|single_role,6,6,"{""metadata_value"": 6}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Metropolitan regions\\Time""], ""occurrence_count"": 6, ""table_count"": 6}",other_ambiguous,codex_rule_assisted_relabel,"Rule-assisted audit: conflicting, fragmentary, or insufficient evidence; kept out of four required classes. Blind duplicate milestone 9 audit label."
term_799415c7adb43189a8af,Air pollutants and greenhouse gases,air pollutants and greenhouse gases,train_dev,header_name|occ_6_20|tables_6_20|no_title|header|no_value|single_role,8,8,"{""header_name"": 8}","{""has_header_evidence"": true, ""has_metadata_value_evidence"": false, ""has_title_evidence"": false, ""metadata_columns"": [""Air pollutants and greenhouse gases""], ""occurrence_count"": 8, ""table_count"": 8}",dimension_name,codex_rule_assisted_relabel,Rule-assisted audit: header/source evidence names a table dimension. Blind duplicate milestone 9 audit label.
term_79e45bd6ff5512dad206,Social insurance coverage,social insurance coverage,train_dev,header_name|occ_1|tables_1|no_title|header|no_value|single_role,1,1,"{""header_name"": 1}","{""has_header_evidence"": true, ""has_metadata_value_evidence"": false, ""has_title_evidence"": false, ""metadata_columns"": [""Social insurance coverage""], ""occurrence_count"": 1, ""table_count"": 1}",dimension_name,codex_rule_assisted_relabel,Rule-assisted audit: header/source evidence names a table dimension. Blind duplicate milestone 9 audit label.
term_7b95c8c25d19b37b1761,Percentage of the ICT sector personnel in total employment,percentage of the ict sector personnel in total employment,train_dev,title_full|occ_2_5|tables_2_5|title|no_header|no_value|single_role,2,2,"{""title_full"": 2}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": false, ""has_title_evidence"": true, ""metadata_columns"": [], ""occurrence_count"": 2, ""table_count"": 2}",unit,codex_rule_assisted_relabel,Rule-assisted audit: unit dictionary or unit-like expression. Blind duplicate milestone 9 audit label.
term_7c969cb5a5bea26ceb1d,Salmo trutta (Sea trout),salmo trutta (sea trout),train_dev,metadata_value|occ_6_20|tables_1|no_title|no_header|value|single_role,1,20,"{""metadata_value"": 20}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Species""], ""occurrence_count"": 20, ""table_count"": 1}",other_ambiguous,codex_rule_assisted_relabel,"Rule-assisted audit: conflicting, fragmentary, or insufficient evidence; kept out of four required classes. Blind duplicate milestone 9 audit label."
term_7e2907e0b1bc91a1e92b,Deda - Beclean Pe Somes,deda - beclean pe somes,train_dev,metadata_value|occ_6_20|tables_2_5|no_title|no_header|value|single_role,3,6,"{""metadata_value"": 6}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Rail network Segment (2015)"", ""Rail network segment (2010)"", ""Rail network segment (2020)""], ""occurrence_count"": 6, ""table_count"": 3}",other_ambiguous,codex_rule_assisted_relabel,"Rule-assisted audit: conflicting, fragmentary, or insufficient evidence; kept out of four required classes. Blind duplicate milestone 9 audit label."
term_8808316d868823d6086b,sizeclas,sizeclas,train_dev,header_name|occ_2_5|tables_2_5|no_title|header|no_value|single_role,2,2,"{""header_name"": 2}","{""has_header_evidence"": true, ""has_metadata_value_evidence"": false, ""has_title_evidence"": false, ""metadata_columns"": [""sizeclas""], ""occurrence_count"": 2, ""table_count"": 2}",dimension_name,codex_rule_assisted_relabel,Rule-assisted audit: header/source evidence names a table dimension. Blind duplicate milestone 9 audit label.
term_8ea012abbdd0b9cd1823,Area under wine-grape vine varieties broken down by vine variety and by age of the vines,area under wine-grape vine varieties broken down by vine variety and by age of the vines,train_dev,title_full|occ_2_5|tables_2_5|title|no_header|no_value|single_role,2,2,"{""title_full"": 2}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": false, ""has_title_evidence"": true, ""metadata_columns"": [], ""occurrence_count"": 2, ""table_count"": 2}",other_ambiguous,codex_rule_assisted_relabel,"Rule-assisted audit: conflicting, fragmentary, or insufficient evidence; kept out of four required classes. Blind duplicate milestone 9 audit label."
term_8eb71c6dc355fe57c854,Public expenditure on education,public expenditure on education,train_dev,title_clause+title_full|occ_2_5|tables_2_5|title|no_header|no_value|conflict,3,3,"{""title_clause"": 2, ""title_full"": 1}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": false, ""has_title_evidence"": true, ""metadata_columns"": [], ""occurrence_count"": 3, ""table_count"": 3}",other_ambiguous,codex_rule_assisted_relabel,"Rule-assisted audit: conflicting, fragmentary, or insufficient evidence; kept out of four required classes. Blind duplicate milestone 9 audit label."
term_92364f8dfa8be322ee3a,"NACE Rev. 2, B-S excluding O","nace rev. 2, b-s excluding o",validation,title_clause|occ_6_20|tables_6_20|title|no_header|no_value|single_role,15,15,"{""title_clause"": 15}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": false, ""has_title_evidence"": true, ""metadata_columns"": [], ""occurrence_count"": 15, ""table_count"": 15}",other_ambiguous,codex_rule_assisted_relabel,"Rule-assisted audit: conflicting, fragmentary, or insufficient evidence; kept out of four required classes. Blind duplicate milestone 9 audit label."
term_92e4484c6f766fc9ca1a,SALZBURG airport,salzburg airport,validation,metadata_value|occ_1|tables_1|no_title|no_header|value|single_role,1,1,"{""metadata_value"": 1}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Reporting airport""], ""occurrence_count"": 1, ""table_count"": 1}",other_ambiguous,codex_rule_assisted_relabel,"Rule-assisted audit: conflicting, fragmentary, or insufficient evidence; kept out of four required classes. Blind duplicate milestone 9 audit label."
term_96cbb07d86b897e587e5,Day-to-day rates for euro area countries,day-to-day rates for euro area countries,validation,title_clause|occ_2_5|tables_2_5|title|no_header|no_value|single_role,2,2,"{""title_clause"": 2}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": false, ""has_title_evidence"": true, ""metadata_columns"": [], ""occurrence_count"": 2, ""table_count"": 2}",other_ambiguous,codex_rule_assisted_relabel,"Rule-assisted audit: conflicting, fragmentary, or insufficient evidence; kept out of four required classes. Blind duplicate milestone 9 audit label."
term_994edf8acc8b0cb8db14,First instance decisions on asylum applications by type of decision - annual aggregated data,first instance decisions on asylum applications by type of decision - annual aggregated data,validation,title_full|occ_1|tables_1|title|no_header|no_value|single_role,1,1,"{""title_full"": 1}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": false, ""has_title_evidence"": true, ""metadata_columns"": [], ""occurrence_count"": 1, ""table_count"": 1}",measure,codex_rule_assisted_relabel,Rule-assisted audit: title/source evidence names a measured statistical phenomenon. Blind duplicate milestone 9 audit label.
term_a3b6ff01c3872344e22e,Price set by oneself or other party,price set by oneself or other party,validation,metadata_value|occ_6_20|tables_1|no_title|no_header|value|single_role,1,9,"{""metadata_value"": 9}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Price setting""], ""occurrence_count"": 9, ""table_count"": 1}",other_ambiguous,codex_rule_assisted_relabel,"Rule-assisted audit: conflicting, fragmentary, or insufficient evidence; kept out of four required classes. Blind duplicate milestone 9 audit label."
term_a823409572bb6410c154,Owner,owner,validation,metadata_value|occ_21_plus|tables_6_20|no_title|no_header|value|single_role,7,589,"{""metadata_value"": 589}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Tenure status""], ""occurrence_count"": 589, ""table_count"": 7}",other_ambiguous,codex_rule_assisted_relabel,"Rule-assisted audit: conflicting, fragmentary, or insufficient evidence; kept out of four required classes. Blind duplicate milestone 9 audit label."
term_a99929ceeb3daac44941,From 4 000 to 14 000 euros,from 4 000 to 14 000 euros,validation,metadata_value|occ_21_plus|tables_1|no_title|no_header|value|single_role,1,32,"{""metadata_value"": 32}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Standard output in Euros""], ""occurrence_count"": 32, ""table_count"": 1}",dimension_value,codex_rule_assisted_relabel,Rule-assisted audit: metadata-value/source evidence is a member of a dimension. Blind duplicate milestone 9 audit label.
term_c1da79f95b731b29b5c4,Gender differences in the aggregate replacement ratio for pensions (excluding other social benefits),gender differences in the aggregate replacement ratio for pensions (excluding other social benefits),validation,title_clause+title_full|occ_2_5|tables_2_5|title|no_header|no_value|conflict,2,2,"{""title_clause"": 1, ""title_full"": 1}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": false, ""has_title_evidence"": true, ""metadata_columns"": [], ""occurrence_count"": 2, ""table_count"": 2}",other_ambiguous,codex_rule_assisted_relabel,"Rule-assisted audit: conflicting, fragmentary, or insufficient evidence; kept out of four required classes. Blind duplicate milestone 9 audit label."
term_c64a6f2da7e89f5eb79a,historical data,historical data,validation,title_clause|occ_6_20|tables_6_20|title|no_header|no_value|single_role,7,7,"{""title_clause"": 7}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": false, ""has_title_evidence"": true, ""metadata_columns"": [], ""occurrence_count"": 7, ""table_count"": 7}",other_ambiguous,codex_rule_assisted_relabel,"Rule-assisted audit: conflicting, fragmentary, or insufficient evidence; kept out of four required classes. Blind duplicate milestone 9 audit label."
term_caf9f6d71c5a245e86c4,"Live asses, mules and hinnies","live asses, mules and hinnies",validation,metadata_value|occ_6_20|tables_1|no_title|no_header|value|single_role,1,16,"{""metadata_value"": 16}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Live animals""], ""occurrence_count"": 16, ""table_count"": 1}",other_ambiguous,codex_rule_assisted_relabel,"Rule-assisted audit: conflicting, fragmentary, or insufficient evidence; kept out of four required classes. Blind duplicate milestone 9 audit label."
term_ceea668a16e445fcf3f2,Assistance with amount of work,assistance with amount of work,final_test,metadata_value|occ_21_plus|tables_2_5|no_title|no_header|value|single_role,2,133,"{""metadata_value"": 133}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Type of assistance provided/needed for disabled persons to work""], ""occurrence_count"": 133, ""table_count"": 2}",other_ambiguous,codex_rule_assisted_relabel,"Rule-assisted audit: conflicting, fragmentary, or insufficient evidence; kept out of four required classes. Blind duplicate milestone 9 audit label."
term_d7849a14666c5a37395e,Total business economy except financial and insurance activities,total business economy except financial and insurance activities,final_test,metadata_value|occ_21_plus|tables_1|no_title|no_header|value|single_role,1,41,"{""metadata_value"": 41}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Statistical classification of economic activities in the European Community (NACE Rev. 2)""], ""occurrence_count"": 41, ""table_count"": 1}",dimension_value,codex_rule_assisted_relabel,Rule-assisted audit: metadata-value/source evidence is a member of a dimension. Blind duplicate milestone 9 audit label.
term_d9d1f10704de7be36717,Phosphate in rivers,phosphate in rivers,final_test,metadata_value+title_full|occ_21_plus|tables_1|title|no_header|value|conflict,1,24,"{""metadata_value"": 23, ""title_full"": 1}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": true, ""metadata_columns"": [""Water pollutants""], ""occurrence_count"": 24, ""table_count"": 1}",other_ambiguous,codex_rule_assisted_relabel,"Rule-assisted audit: conflicting, fragmentary, or insufficient evidence; kept out of four required classes. Blind duplicate milestone 9 audit label."
term_df2d49d69014aee3602d,Metropolitan France,metropolitan france,final_test,metadata_value|occ_21_plus|tables_21_plus|no_title|no_header|value|single_role,23,41,"{""metadata_value"": 41}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": false, ""metadata_columns"": [""Geopolitical entity (reporting)\\Time""], ""occurrence_count"": 41, ""table_count"": 23}",other_ambiguous,codex_rule_assisted_relabel,"Rule-assisted audit: conflicting, fragmentary, or insufficient evidence; kept out of four required classes. Blind duplicate milestone 9 audit label."
term_dfc0dee809afe5c9aa8c,n_hprob,n_hprob,final_test,header_name|occ_2_5|tables_2_5|no_title|header|no_value|single_role,2,2,"{""header_name"": 2}","{""has_header_evidence"": true, ""has_metadata_value_evidence"": false, ""has_title_evidence"": false, ""metadata_columns"": [""n_hprob""], ""occurrence_count"": 2, ""table_count"": 2}",dimension_name,codex_rule_assisted_relabel,Rule-assisted audit: header/source evidence names a table dimension. Blind duplicate milestone 9 audit label.
term_e93ee7401a67c630acec,Person/support service,person/support service,final_test,header_name|occ_6_20|tables_6_20|no_title|header|no_value|single_role,6,6,"{""header_name"": 6}","{""has_header_evidence"": true, ""has_metadata_value_evidence"": false, ""has_title_evidence"": false, ""metadata_columns"": [""Person/support service""], ""occurrence_count"": 6, ""table_count"": 6}",dimension_name,codex_rule_assisted_relabel,Rule-assisted audit: header/source evidence names a table dimension. Blind duplicate milestone 9 audit label.
term_f849cf76c5d52c0e7167,Severe material deprivation rate by NUTS 2 region,severe material deprivation rate by nuts 2 region,final_test,title_full|occ_2_5|tables_2_5|title|no_header|no_value|single_role,2,2,"{""title_full"": 2}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": false, ""has_title_evidence"": true, ""metadata_columns"": [], ""occurrence_count"": 2, ""table_count"": 2}",other_ambiguous,codex_rule_assisted_relabel,"Rule-assisted audit: conflicting, fragmentary, or insufficient evidence; kept out of four required classes. Blind duplicate milestone 9 audit label."
term_f8f32bf8f8d272d562dc,Geopolitical entity (reporting),geopolitical entity (reporting),final_test,header_name|occ_6_20|tables_6_20|no_title|header|no_value|single_role,12,12,"{""header_name"": 12}","{""has_header_evidence"": true, ""has_metadata_value_evidence"": false, ""has_title_evidence"": false, ""metadata_columns"": [""Geopolitical entity (reporting)""], ""occurrence_count"": 12, ""table_count"": 12}",dimension_name,codex_rule_assisted_relabel,Rule-assisted audit: header/source evidence names a table dimension. Blind duplicate milestone 9 audit label.
term_fa9dc4b66c819b2ed08b,hotels and restaurants,hotels and restaurants,final_test,metadata_value+title_clause|occ_21_plus|tables_6_20|title|no_header|value|conflict,7,67,"{""metadata_value"": 66, ""title_clause"": 1}","{""has_header_evidence"": false, ""has_metadata_value_evidence"": true, ""has_title_evidence"": true, ""metadata_columns"": [""Statistical classification of economic activities in the European Community (NACE Rev. 1.1)""], ""occurrence_count"": 67, ""table_count"": 7}",other_ambiguous,codex_rule_assisted_relabel,"Rule-assisted audit: conflicting, fragmentary, or insufficient evidence; kept out of four required classes. Blind duplicate milestone 9 audit label."
