term_id,term,baseline_cluster_id,method,evidence
term_f5213a127a8488a1ed73,"a domestic perpetrator, by country of birth",cluster_8cbdd0602d88,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_eda8ed1ce0eba77846ef,"a non-partner, by country of birth",cluster_8cbdd0602d88,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_1841dde785c10e5eeb3d,A of the income from agricultural,cluster_0958acf3e7dc,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_84ba59b6c245c2358047,A of the income from agricultural activity,cluster_0958acf3e7dc,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_8edcbec9396e6e38b16d,a share of GDP,cluster_f5e40cb5cbdd,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_20d6b4a1cc5307075745,Accidents in waterway transport,cluster_3d19854cb005,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_2c16cafab319d30eed0d,Accidents involving the transport of dangerous goods,cluster_3d19854cb005,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_0f8f9cf7bf3053d8d92c,Accidents involving the transport of dangerous goods - annual data,cluster_3d19854cb005,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_9a046e87cc205a38ebfd,account transactions - primary income,cluster_c574624eef1e,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_94f077008c0572a9fc12,account transactions - primary income: credits,cluster_c574624eef1e,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_9adac7eff36b8f5ff44b,"account transactions - primary income: credits, debits",cluster_c574624eef1e,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_d9bb2722982dec92e450,"account transactions - primary income: credits, debits and",cluster_c574624eef1e,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_33d492cb59136698a60c,"account transactions - primary income: credits, debits and balance",cluster_c574624eef1e,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_264c782947dc24197f74,account transactions - secondary income,cluster_c574624eef1e,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_536b57e8e3f59f3a910a,account transactions - secondary income: credits,cluster_c574624eef1e,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_fd57e72d270548a46779,"account transactions - secondary income: credits, debits",cluster_c574624eef1e,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_6300a00f9615304745ae,"account transactions - secondary income: credits, debits and",cluster_c574624eef1e,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_9f29f15171bba88877a9,"account transactions - secondary income: credits, debits and balance",cluster_c574624eef1e,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_5528fa67425fcb08da82,active population,cluster_021a934ea779,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_fa3e7d4b99802b9dfbb1,active population aged 15-24,cluster_586194a4eb3a,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_05e76930e9bf23af3b96,active population aged 15-74,cluster_586194a4eb3a,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_6f49a45cf47e9da11f5a,activity and employment,cluster_717245bdba31,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_499c4b685a5cf652edad,adjusted GDP,cluster_f5e40cb5cbdd,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_0792eeda65ce9b679e3e,adjusted GDP per,cluster_f5e40cb5cbdd,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_44acc67e4f926d1b5e33,adjusted GDP per capita,cluster_f5e40cb5cbdd,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_4f5a7f8d29f88a6e8682,adjusted gross disposable income,cluster_0958acf3e7dc,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_2934796be42448e732c6,adjusted gross disposable income of,cluster_0958acf3e7dc,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_66afc3bf2495fc164a87,adjusted gross disposable income of households,cluster_0958acf3e7dc,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_b58ae6f61e4f2ed5dc81,adjusted gross disposable income of households per,cluster_0958acf3e7dc,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_fe683ccab63d544e89b0,adjusted gross disposable income of households per capita,cluster_0958acf3e7dc,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_28537334be6786e5aad6,Adjusted gross disposable income of households per capita in PPS,cluster_0958acf3e7dc,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_dd4aa8583ed35ea2e944,"after social transfers, income",cluster_0958acf3e7dc,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_967bab15f8feaae7c19a,"after social transfers, income per",cluster_0958acf3e7dc,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_ca970dc7c27d85c4265c,against influenza of population,cluster_9f754bbcabe2,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_f6468db3adfc926b69ab,against influenza of population aged,cluster_9f754bbcabe2,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_c12ba50d3f81c18f0f44,against influenza of population aged 65,cluster_9f754bbcabe2,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_a5ef9f90719648988729,against influenza of population aged 65 and,cluster_9f754bbcabe2,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_11028b8d4fd50ad18cb4,against influenza of population aged 65 and over,cluster_9f754bbcabe2,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_a0902dc3d11f8b541af7,age group - % over the population,cluster_586194a4eb3a,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_64c1cf01bfce8c62a82e,age group - % over the population of,cluster_586194a4eb3a,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_085ebba4da9278183e20,age group - % over the population of each,cluster_586194a4eb3a,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_5427d4846d9703e0a4af,age group - % over the population of each age,cluster_586194a4eb3a,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_ea344c12eeb3e413288d,age groups - per 1000 of population,cluster_586194a4eb3a,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_f8a923774332721d4ea3,age groups - per 1000 of population aged,cluster_586194a4eb3a,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_4e5fbbcc9d81b5dd2847,age groups - per 1000 of population aged 25-34,cluster_586194a4eb3a,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_62d5487bfd68279ffa75,age of women at childbirth,cluster_8cbdd0602d88,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_76b94557e19b850bd71c,age of women at childbirth and,cluster_8cbdd0602d88,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_dfab6f489639d8083dc9,age of women at childbirth and at,cluster_8cbdd0602d88,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_f7a222aecf10a858f32e,age of women at childbirth and at birth,cluster_8cbdd0602d88,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_18ae6fdf8179a045c9bf,age population,cluster_586194a4eb3a,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_2763af19491776269de8,aged 15-24) neither in employment,cluster_fd27aed274d2,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_f0af8b5a505f2ee20169,aged 15-24) neither in employment nor,cluster_fd27aed274d2,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_d6f0d8f5f57bc561b80d,aged 15-24) neither in employment nor in,cluster_fd27aed274d2,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_471a00b583fa9804be00,aged 15-24) neither in employment nor in education,cluster_fd27aed274d2,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_9f067eb4b547071dc62f,Aggregate propensity to consume by income,cluster_f7c5001b3c2d,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_a8771db3c5fdeaea7553,Aggregate propensity to consume by income quintile,cluster_f7c5001b3c2d,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_8247507a67c7013b8c11,Aggregate propensity to consume by income quintile - experimental,cluster_f7c5001b3c2d,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_dd253336ca9a867f3b27,Aggregate propensity to consume by income quintile - experimental statistics,cluster_f7c5001b3c2d,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_d159d1d70a676d86fe50,Agricultural holdings by age of holder,cluster_b2b3f012d4f5,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_0d7a0d04c0ce32966ea7,Agricultural holdings by agricultural area,cluster_b2b3f012d4f5,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_f2c0c07a0e4bc0b204b8,Agricultural holdings by economic size of the farm (Standard Output in Euro),cluster_52d12036582f,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_a7fa27bd2e0cc4478714,agricultural industry - basic and producer prices,cluster_50fcb6e7a7e8,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_f305973d645117b92dee,Agricultural land prices,cluster_34cd09890693,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_e6b7b05a1721d2d841d5,Agricultural land prices by,cluster_34cd09890693,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_6cc6165729f5e7f40aea,Agricultural land prices by region,cluster_34cd09890693,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_1e09dc7785342a81f8e1,Agricultural land prices by region - historical,cluster_34cd09890693,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_0e0b3810707546d985d4,Agricultural land prices by region - historical data,cluster_34cd09890693,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_242af11f95ecc4565c18,Agricultural land renting prices,cluster_34cd09890693,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_545c4065601745332c07,Agricultural land renting prices for,cluster_34cd09890693,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_e4425a67ee9c77f33d0f,Agricultural land renting prices for one,cluster_34cd09890693,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_bdfb7fbf132cb2662e36,Agricultural land renting prices for one year,cluster_34cd09890693,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_2cb8f0f4af78abbdc509,Agricultural land renting prices for one year by,cluster_34cd09890693,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_6f2b02206af9e587fed1,Agricultural land renting prices for one year by region,cluster_34cd09890693,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_e422348de0704bae21cd,Agricultural land renting prices for one year by region - historical data,cluster_34cd09890693,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_6451ea3b40ba5dca98b4,agricultural production,cluster_4c9b1b408341,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_c16d3cb8f9c2166ca7fb,Agricultural real factor income,cluster_0958acf3e7dc,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_d1f5642000661725dc3f,Agricultural real factor income per,cluster_0958acf3e7dc,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_add827fa476602d065fa,Agricultural real factor income per annual,cluster_0958acf3e7dc,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_3f2871ac5600e8f17598,Agricultural real factor income per annual work,cluster_0958acf3e7dc,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_130f4f699ebfd907a512,Agricultural real factor income per annual work unit,cluster_0958acf3e7dc,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_91ab15d8f699b278f32c,Agricultural real factor income per annual work unit (AWU),cluster_0958acf3e7dc,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_0b214cfd73ab25abb7b2,Air passenger transport,cluster_0b86931b6154,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_d2e804e762d250d07c7c,Air passenger transport - ENP-South countries,cluster_0b86931b6154,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_7dcf76b37479e12f0002,Air transport equipment,cluster_0b86931b6154,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_45c3f1dcec8bf74b3b4e,Air transport equipment: number of aircrafts,cluster_0b86931b6154,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_34fd33d58a573e6288b3,Air transport infrastructure,cluster_0b86931b6154,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_c9079f249b58f620e9c3,Air transport infrastructure: airports,cluster_0b86931b6154,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_6a711696e7225f1e4d10,Air transport infrastructure: length of paved runways,cluster_0b86931b6154,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_a0016567b77ecdefeda9,Air transport of freight by NUTS 2 region,cluster_95df7df16168,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_1051834513fa48bf6daa,Air transport of goods by country (yearly data),cluster_0b86931b6154,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_b13910a22b73184ff80d,Air transport of passengers by NUTS 2 region,cluster_95df7df16168,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_b847033074daa0b60a7d,Air transport traffic,cluster_0b86931b6154,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_54d9b1f4afa97eb30220,Air transport traffic: freight and passengers,cluster_0b86931b6154,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_50eb0e42cf2464964ee5,Air transport traffic: number of aircraft movements,cluster_0b86931b6154,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_fa98930b8e0236118ed4,all employees (excluding apprentices) by employment,cluster_fd27aed274d2,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_1bab50bee2537067aa5a,all employees (excluding apprentices) by employment contract,cluster_fd27aed274d2,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_f364c48559f7afa356f6,"an intimate partner, by country of birth",cluster_8cbdd0602d88,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_f44103e3c835e10c20bf,and age groups - per 1000 of population,cluster_586194a4eb3a,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_e8fe3d4d278697ef8d0f,and age groups - per 1000 of population aged,cluster_586194a4eb3a,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_fbf4f47069913359fbc1,and construction production,cluster_33ddf438eacf,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_4e7c43d4bb135c30882b,and construction production volume,cluster_33ddf438eacf,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_6551a0f96a282628c5fb,and construction production volume index,cluster_33ddf438eacf,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_460784f1593dab82e240,and construction production volume index - calendar,cluster_33ddf438eacf,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_0890a04dad756b27884d,and construction production volume index - calendar adjusted,cluster_33ddf438eacf,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_d52f1d5d8094cac63f17,and construction production volume index - calendar adjusted - ENP-East,cluster_33ddf438eacf,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_292a8b0e829df1ec5687,"and corn-cob-mix by area, production",cluster_4c9b1b408341,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_7567bd4c97514b1d86bb,"and corn-cob-mix by area, production and",cluster_4c9b1b408341,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_809133541e391c625272,"and corn-cob-mix by area, production and humidity",cluster_4c9b1b408341,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_49179846a32af03fa033,and country of birth,cluster_8cbdd0602d88,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_e71b9f56bbac566384c4,and crude birth,cluster_6186e87388cd,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_426dae8b8c3f4b18f6df,and crude birth rate,cluster_6186e87388cd,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_c0ba3805721f2d83f2e8,and crude death,cluster_6186e87388cd,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_d61c4d969d39fa4b030b,and crude death rate,cluster_6186e87388cd,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_320828b73fa41f46ac26,and development expenditure,cluster_f7c5001b3c2d,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_31bd6e8cd55050faaa21,and development expenditure by,cluster_f7c5001b3c2d,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_328d9fed9bb996dad46e,and development expenditure by sector,cluster_f7c5001b3c2d,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_2abf4aad31bdefea91b4,and development expenditure by sector of,cluster_f7c5001b3c2d,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_e7ea18fed95fae56f9a7,and development expenditure by sector of performance,cluster_f7c5001b3c2d,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_9c279c237f4aca643020,and employment rates,cluster_b625d52d71ac,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_e9f78a45076b0266bab4,and employment rates (aged,cluster_b625d52d71ac,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_be90c8b469a49c9b2032,and employment rates (aged 20-64,cluster_b625d52d71ac,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_fae7caeb58fe78fcd3ec,and employment rates (aged 20-64) by,cluster_b625d52d71ac,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_4cafd5f6d1c75739979f,and employment rates (aged 20-64) by sex,cluster_b625d52d71ac,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_26021ba2bf675a967f21,and employment rates (aged 20-64) by sex - ENP-East,cluster_b625d52d71ac,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_3a1bda3ea98a6acd34dd,and employment status,cluster_717245bdba31,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_adeccb75f5d0834def2a,and group of country of birth,cluster_8cbdd0602d88,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_cb72a65edb7feba6943a,and over - per 1000 of corresponding age population,cluster_586194a4eb3a,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_7d54d8745279b8d1f3b8,and producer prices,cluster_50fcb6e7a7e8,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_64a850c0970dcbcfa94e,and protein crops for the production,cluster_4c9b1b408341,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_a0191d4a252dfa11435b,and protein crops for the production of,cluster_4c9b1b408341,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_bfb11649eef30d95ae9e,and protein crops for the production of grain,cluster_4c9b1b408341,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_d8ce64cb7934ea86b8d6,and services in % of GDP,cluster_f5e40cb5cbdd,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_e862f9ed58ee127abe3e,"and services, current prices",cluster_fc59ce925147,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_16fc123e751aa616c4b6,and similar income,cluster_0958acf3e7dc,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_0df0de7b6fd3c3d4689d,and similar income by,cluster_0958acf3e7dc,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_8d8a53892ece872d848b,and similar income by product,cluster_0958acf3e7dc,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_9953f4ac5d568f8c3609,and social transfers on income,cluster_0958acf3e7dc,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_4f7cb39f38ae47850604,and social transfers on income quintile,cluster_0958acf3e7dc,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_58c83a18c40f48fbc72f,and social transfers on income quintile share,cluster_0958acf3e7dc,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_ef6354b51c6a2d844009,and social transfers on income quintile share ratio,cluster_0958acf3e7dc,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_da64931282fa2c7c9188,"and spelt by area, production",cluster_4c9b1b408341,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_364224dc6a02a1d44ec4,"and spelt by area, production and",cluster_4c9b1b408341,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_187c41e53cda9f760710,"and spelt by area, production and humidity",cluster_4c9b1b408341,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_b395a9370d2a1549a637,"and spring cereal mixtures by area, production",cluster_4c9b1b408341,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_370e5e26a5564d5fcbe2,"and spring cereal mixtures by area, production and",cluster_4c9b1b408341,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_d93185be6e5c5aefc072,and upper-secondary education - as % of total active population,cluster_586194a4eb3a,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_15fa1e09e7783f612a0f,"and winter cereal mixtures by area, production",cluster_4c9b1b408341,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_66119997e721b970e037,"and winter cereal mixtures by area, production and",cluster_4c9b1b408341,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_2c2aa987611c42fddda7,and work intensity of the household (population,cluster_a03fe115e208,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_56848472fc55552d775d,and work intensity of the household (population aged,cluster_a03fe115e208,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_a110f656e03e67dd599d,and work intensity of the households with income,cluster_a03fe115e208,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_26408b77200929d0bb01,Animal output - basic and producer prices,cluster_50fcb6e7a7e8,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_558f4a8e9de234d081fa,Annual aquaculture production,cluster_4c9b1b408341,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_36822b814a5b1e2b3f2c,Annual aquaculture production - live,cluster_4c9b1b408341,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_e2e1c8f4db62d9090db5,Annual aquaculture production - live weight,cluster_4c9b1b408341,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_0968cd34fedd688fdb6e,Annual aquaculture production - live weight in,cluster_4c9b1b408341,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_de9b03884237b6ceb33d,Annual aquaculture production - live weight in tonnes,cluster_4c9b1b408341,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_08daf5eebc86334e6fe1,"annual data, % of GDP",cluster_f5e40cb5cbdd,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_302dcbbc5a075fb96626,annual expenditure per student at the tertiary level and primary level,cluster_f7c5001b3c2d,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_4d9c23472370bf1de6f2,Annual production,cluster_4ba888595f32,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_3d9cc7d8a0613c670530,Annual production and,cluster_4ba888595f32,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_ba36cb12a3e258d41cec,Annual production and utilisation,cluster_4ba888595f32,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_f928332ddd8c87059a84,Annual production and utilisation of,cluster_4ba888595f32,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_145d9993d22acf10c410,Annual production and utilisation of milk,cluster_4c9b1b408341,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_cf9058632fab8180194a,Annual production and utilisation of milk on,cluster_4c9b1b408341,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
term_9a4d73dc45068cf5eea5,Annual production and utilisation of milk on the,cluster_4c9b1b408341,agglomerative,"{""distance_threshold"": 0.35, ""linkage"": ""average""}"
